zip,city,state,system_name,pwsid,population,water_source,total_violations,health_violations,unresolved_violations,lead_level_mg_l,copper_level_mg_l,radon_zone,home_safety_score,home_safety_grade,latitude,longitude,contaminant_count,health_contaminant_names,ccr_contaminant_count,ccr_violation_count,enforcement_action_count,enforcement_health_violations,has_active_issues,boil_water_advisories
53074,Port Washington,WI,Port Washington Waterworks,WI2460054,12853,SW,4,0,1,0.0059,,2,78,B,43.3955,-87.8797,0,,,,10,0,false,0
53075,Random Lake,WI,Random Lake Waterworks,WI4600355,1594,GW,0,0,0,0.00053,,2,83,B,43.5672,-87.9816,0,,,,0,0,false,0
53076,Richfield,WI,Germantown Water Utility,WI2670105,20027,GW,0,0,0,0.00195,,1,66,C,43.2739,-88.2155,0,,,,0,0,false,0
53078,Rubicon,WI,HARTFORD WATERWORKS,WI2670110,15805,GW,0,0,0,,,1,40,D,43.3121,-88.4528,0,,,,0,0,false,0
53079,Saint Cloud,WI,MOUNT CALVARY WATERWORKS,WI4200474,478,GW,0,0,0,,,1,40,D,43.8074,-88.1845,0,,,,0,0,false,0
53080,Saukville,WI,Saukville Waterworks,WI2460134,4268,GW,2,1,2,0.0076,,2,68,C,43.3913,-87.9568,1,Stage 2 DBP Rule,,,0,1,true,0
53081,Sheboygan,WI,Sheboygan Water Utilities,WI4600354,49931,SW,4,1,2,0.0022,,2,74,B,43.741,-87.7247,1,Stage 2 DBP Rule,1,0,8,1,true,0
53082,Sheboygan,WI,Sheboygan Water Utilities,WI4600354,49931,SW,4,1,2,0.0022,,2,79,B,43.7183,-87.6187,1,Stage 2 DBP Rule,1,0,8,1,true,0
53083,Sheboygan,WI,Sheboygan Water Utilities,WI4600354,49931,SW,4,1,2,0.0022,,2,79,B,43.8176,-87.766,1,Stage 2 DBP Rule,1,0,8,1,true,0
53085,Sheboygan Falls,WI,Sheboygan Falls Utilities,WI4600455,8165,SW,8,1,3,0.0054,,2,81,B,43.7266,-87.8242,1,Stage 2 DBP Rule,,,10,1,false,0
53086,Slinger,WI,Slinger Water Utility,WI2670116,5659,GW,2,1,1,0.0031,,1,69,C,43.3322,-88.2824,1,Stage 2 DBP Rule,,,1,1,false,0
53088,Stockbridge,WI,Stockbridge Waterworks,WI4080407,650,GW,2,1,0,0.0011,,2,82,B,44.0717,-88.299,1,Stage 2 DBP Rule,,,3,1,false,0
53089,Sussex,WI,Sussex Village Hall & Water Utility,WI2680233,11750,GW,6,1,2,0.0018,,1,66,C,43.1441,-88.2271,1,Stage 2 DBP Rule,,,10,1,true,0
53090,West Bend,WI,West Bend Waterworks,WI2670120,31752,GW,5,0,0,0.012,,1,51,D,43.4438,-88.1963,0,,24,0,10,1,false,0
53091,Theresa,WI,Theresa Waterworks,WI1140154,1262,GW,3,2,2,0.00067,,1,65,C,43.5045,-88.4478,2,"Stage 2 DBP Rule;Chlorine residual",,,2,2,true,0
53092,Thiensville,WI,Century Estates 1,WI2460143,130,GW,1,0,1,0.000493,,2,66,C,43.2364,-87.9845,0,,,,0,0,false,0
53093,Waldo,WI,Waldo Waterworks,WI4600456,500,GW,0,0,0,0.00035,1.811,2,83,B,43.6571,-87.9722,0,,,,0,0,false,0
53094,Watertown,WI,Watertown Waterworks,WI1280044,23945,GW,9,3,6,0.015,,1,28,F,43.193,-88.7185,2,"Gross Beta;Stage 2 DBP Rule",,,10,3,true,0
53095,West Bend,WI,West Bend Waterworks,WI2670120,31752,GW,5,0,0,0.012,,1,51,D,43.4224,-88.1845,0,,24,0,10,1,false,0
53097,Mequon,WI,Mequon Water Utility,WI2460112,11152,SW,5,1,3,0.00052,,2,74,B,43.2461,-88.0046,1,Stage 2 DBP Rule,,,5,1,true,0
53098,Watertown,WI,Watertown Waterworks,WI1280044,23945,GW,9,3,6,0.015,,1,28,F,43.2764,-88.7154,2,"Gross Beta;Stage 2 DBP Rule",,,10,3,true,0
53099,Woodland,WI,IRON RIDGE WATERWORKS,WI1140150,937,GW,0,0,0,,,1,40,D,43.3703,-88.5187,0,,,,0,0,false,0
53101,Bassett,WI,TAN OAK APTS,WI2301080,325,GW,0,0,0,,,2,53,D,42.5406,-88.2279,0,,,,0,0,false,0
53102,Benet Lake,WI,BRISTOL VILLAGE OF EAST,WI2300767,1001,SW,0,0,0,,,2,53,D,42.5001,-88.08,0,,,,0,0,false,0
53103,Big Bend,WI,MUSKEGO WATER UTILITY,WI2681741,8150,GW,0,0,0,,,1,53,D,42.8885,-88.2122,0,,,,0,0,false,0
53104,Bristol,WI,Kenosha Water Utility,WI2300046,99218,SW,2,0,2,0.0001465,,2,79,B,42.5325,-88.0478,0,,42,0,0,0,false,0
53105,Burlington,WI,Burlington Waterworks,WI2520177,9958,GW,10,1,5,0.015,,2,49,D,42.666,-88.2749,1,Stage 2 DBP Rule,,,10,0,false,0
53108,Caledonia,WI,Caledonia Water Utility - Village of,WI2520184,21819,SW,4,1,2,0.0033,,2,82,B,42.8295,-87.9228,1,Stage 2 DBP Rule,,,4,1,false,0
53109,Camp Lake,WI,CAREFREE ESTATES MHP,WI2300903,300,GW,0,0,0,,,2,63,C,42.536,-88.1444,0,,,,0,0,false,0
53110,Cudahy,WI,Cudahy Waterworks,WI2410169,18659,SW,0,0,0,0.009,,2,73,B,42.949,-87.862,0,,,,0,0,false,0
53111,,,,,,,0,0,0,,,,,,,,0,,,,0,0,false,0
53114,Darien,WI,Darien Waterworks,WI2650057,1573,GW,2,0,2,0.00089,,1,62,C,42.5973,-88.7508,0,,,,4,0,false,0
53115,Delavan,WI,Delavan Waterworks,WI2650113,8451,GW,3,0,3,0.01,,1,52,D,42.6227,-88.6277,0,,,,0,0,false,0
53118,Dousman,WI,Dousman Water Utility,WI2680197,2350,GW,20,7,6,0.0023,,1,63,C,43.0142,-88.4726,3,"Stage 2 DBP Rule;Barium;Chlorine residual",,,10,7,true,0
53119,Eagle,WI,Eagle Waterworks,WI2680198,1950,GW,0,0,0,0.0038,,1,66,C,42.8809,-88.4674,0,,,,4,0,false,0
53120,East Troy,WI,East Troy Waterworks,WI2650123,5054,GW,6,1,1,0.0044,,1,69,C,42.8035,-88.4092,1,Stage 2 DBP Rule,,,10,1,false,0
53121,Elkhorn,WI,Elkhorn Waterworks,WI2650062,10317,GW,6,3,1,0.014,,1,41,D,42.7009,-88.5462,2,"Radium-226;Barium",,,10,2,true,0
53122,Elm Grove,WI,Brookfield Water Utility,WI2680253,29070,GW,6,1,2,0.0012,,1,59,C,43.0479,-88.0854,1,Stage 2 DBP Rule,24,2,6,1,false,0
